transaction_id,date,customer_id,amount,type,description
47,2021-03-14,340,9017.15,credit,This western whose raise.
48,2021-12-20,433,932.48,credit,Own pick someone claim sound watch rise.
49,2021-06-27,864,592.05,transfer,Threat management consumer resource here else.
50,2022-05-27,254,1485.95,transfer,Important stock lot support.
51,2020-06-15,508,2087.57,transfer,Not building manager road.
52,2022-01-19,599,6242.70,debit,Budget station reach carry data guess culture space.
53,2020-11-19,603,2939.09,credit,Improve professor animal fish world.
54,2021-01-02,511,8784.22,credit,Inside Republican suddenly various key.
55,2021-12-27,681,5765.17,debit,Reduce meet government.
56,2023-02-11,477,5095.08,credit,Program should color author should author recent market.
57,2020-05-21,919,2645.87,debit,Can thousand natural opportunity certainly.
58,2022-03-24,106,2052.33,credit,Maybe provide happy impact another forget.
59,2022-01-19,757,1756.62,debit,Well though current send.
60,2021-01-24,549,4539.42,credit,Religious happen start single carry.
61,2018-08-31,54,5392.24,debit,Pass agency than although and.
62,2021-11-03,421,2253.30,debit,Put science recognize rest entire.
63,2019-03-23,898,6185.24,credit,Green campaign here from.
64,2021-10-17,970,2552.75,credit,Speak even thought wrong.
65,2018-09-06,639,7342.83,transfer,Choice guess process central.
66,2020-09-13,502,3609.61,credit,Quality church seven factor couple.
67,2018-05-18,758,9389.33,debit,Avoid might ground story.
68,2019-08-03,645,3575.82,transfer,Skin lay capital current.
69,2018-09-23,414,9183.04,credit,Country after hear indicate market paper relationship.
70,2018-09-17,487,8682.45,credit,Let information heart almost.
71,2021-07-20,656,4992.89,transfer,Face mother let group.
72,2018-11-17,727,3648.88,debit,Cause from purpose easy want.
73,2022-08-07,552,2008.68,credit,Ability ready may.
74,2022-09-07,894,4636.52,debit,More hand change feeling door team food.
75,2018-05-07,433,6022.63,transfer,Maintain training effort thing.
76,2022-11-16,298,2202.74,credit,Conference modern prevent mouth road whole enter store.
77,2020-01-14,752,6816.36,credit,Prepare include respond world interview hear.
78,2018-04-24,486,8101.78,debit,Action few analysis use compare region themselves school.
79,2018-09-05,807,9545.28,transfer,Foot idea part executive end stock want teach.
80,2019-04-18,48,999.02,transfer,Black read picture begin when street conference.
81,2020-04-16,606,3526.39,transfer,Fine civil they work scene.
82,2022-12-16,851,7090.03,transfer,Data perhaps pressure.
83,2022-12-31,821,3527.97,debit,Bag simple born last name toward argue.
84,2021-04-25,50,6142.93,debit,Recognize report production dark.
85,2018-08-26,20,8251.41,transfer,Worker billion particular off arrive.
86,2021-02-24,274,4321.25,debit,Work lay everyone.
87,2022-09-11,185,5582.53,credit,Unit all important subject task.
88,2020-06-09,560,3595.14,transfer,Trade close way grow store work board manager.
89,2019-08-07,333,2112.44,debit,Meet want west.
90,2022-10-29,740,8899.13,transfer,Discussion five goal view.
91,2020-10-22,610,64.62,debit,Area own movement wait.
92,2021-12-08,154,8071.35,transfer,Number actually their information beautiful.
93,2022-12-04,421,6931.46,debit,Total reality baby safe wait meeting.
94,2022-04-27,917,8161.55,debit,Them certainly bill hand window before.
95,2022-09-13,811,2924.89,credit,Population dog interesting so officer style.
96,2021-01-27,761,6981.03,debit,By perform benefit several.
97,2019-02-27,170,1098.28,transfer,Test away within deep set get operation.
98,2018-09-13,728,8898.48,credit,Near movement now reflect everybody level thing.
99,2022-07-14,652,7490.74,debit,Long enjoy career.
100,2021-01-21,756,8888.67,credit,Where turn eye ten.
